Borough Number,Building Name,Building Address,Borough,State,Postcode,Block,Lot,Fuel Oil Usage (MMBTU)
1,Manhattan Municipal Building,1 Centre Street,Manhattan,New York,10007,121,1,0
5,Staten Island Borough Hall,10 Richmond Terrace,Staten Island,New York,10301,7,1,1900.398
1,Manhattan Criminal Court,100 Centre Street,Manhattan,New York,10013,167,1,17678.628
1,100 Gold,100 Gold Street,Manhattan,New York,10038,94,25,3557.226
5,Staten Island Family Court,100 Richmond Terrace,Staten Island,New York,10301,9,22,0
5,Staten Island Village Hall,111 Canal Street,Staten Island,New York,10304,523,1,0
1,Manhattan Civil Court,111 Centre Street,Manhattan,New York,10013,169,10,0
2,Bronx Housing Court,1118 Grand Concourse,Manhattan,New York,10456,2462,39,395.508
1,115 Chrystie,115 Chrystie Street,Bronx,New York,10002,423,22,0
3,Brooklyn Central Court,120 Schermerhorn Street,Brooklyn,New York,11201,169,17,0
4,Queens Borough Hall,120-55 Queens Boulevard,Queens,New York,11415,2274,2,8889.408
1,Health Building,125 Worth Street,Manhattan,New York,10013,168,32,0
4,Queens Criminal Court,125-01 Queens Boulevard,Queens,New York,11415,9653,1,3100.86
5,130 Stuyvesant,130 Stuyvesant Place,Staten Island,New York,10301,8,70,0
1,Excelsior Building,137 Centre Street,Manhattan,New York,10013,197,17,0
3,Brooklyn Navy Yard,150 Navy Street,Brooklyn,New York,11205,2023,1,0
4,Queens Family Court,152-02 Jamaica Avenue,Queens,New York,11432,10093,1,1400.424
3,Bedford Armory,1579 Bedford Avenue,Brooklyn,New York,11225,1274,1,0
3,OEM Building,165 Cadman Plaza East,Brooklyn,New York,11201,85,6,0
1,Harlem Courthouse,170 East 121 Street,Manhattan,New York,10035,1769,45,2686.722
5,Staten Island Supreme Court,18 Richmond Terrace,Staten Island,New York,10301,7,12,0
2,Bergen Building,1932 Arthur Avenue,Bronx,New York,10457,2947,18,20.59
2,Concourse Plaza,198 East 161 Street,Bronx,New York,10451,2443,94,0
1,Court Square Building,2 Lafayette Street,Brooklyn,New York,10007,155,1,0
3,Brooklyn Borough Hall,209 Joralemon Street,Brooklyn,New York,11201,139,1,0
3,Brooklyn Municipal Building,210 Joralemon Street,Bronx,New York,11201,266,30,2120.922
2,Bronx Family & Criminal Court,215 East 161 Street,Manhattan,New York,10451,2444,1,3346.224
1,City Planning Building,22 Reade Street,Queens,New York,10007,154,23,0
4,Long Island City Courthouse,25-10 Court House Square,Manhattan,New York,11101,83,1,952.2
1,Home Life Building,253 Broadway,Staten Island,New York,10007,134,7501,0
5,Staten Island Courthouse,26 Central Avenue,Bronx,New York,10301,6,21,0
2,Bronx Hall of Justice,265 East 161 Street,Manhattan,New York,10451,2454,1,1887.426
1,Manhattan Appellate Court,27 Madison Avenue,Manhattan,New York,10010,855,1,0
1,Sun Building,280 Broadway,Manhattan,New York,10007,153,1,0
1,Manhattan Surrogates Court,31 Chambers Street,Manhattan,New York,10007,153,24,0
1,Midtown Community Court,314 West 54 Street,Manhattan,New York,10019,1044,22,0
3,Brooklyn Family & Supreme Court,330 Jay Street,Brooklyn,New York,11201,140,7502,0
3,345 Adams,345 Adams Street,Brooklyn,New York,11201,140,7503,2729.226
1,Clock Tower Building,346 Broadway,Manhattan,New York,10013,170,6,0
3,Brooklyn Supreme Court,360 Adams Street,Brooklyn,New York,11201,139,20,8237.358
3,DCAS Shops,390 Kent Avenue,Brooklyn,New York,11211,2467,1,1847.544
2,Neighborhood Building,4101 White Plains Road,Bronx,New York,10466,4832,9,1269.6
3,Brooklyn Appellate Court,45 Monroe Place,Brooklyn,New York,11201,237,1,3164.754
1,Emigrant Savings Bank Building,49-51 Chambers Street,Manhattan,New York,10007,153,18,0
1,Tweed Courthouse,52 Chambers Street,Manhattan,New York,10007,122,1,0
1,Manhattan Supreme Court,60 Centre Street,Manhattan,New York,10007,160,21,0
1,Manhattan Family Court,60 Lafayette Street,Manhattan,New York,10013,171,31,0
4,Central Storehouse,66-26 Metropolitan Avenue,Queens,New York,11379,3605,1,3680.322
5,Staten Island Criminal Court,67 Targee Street,Staten Island,New York,10304,542,9,0
1,Louis Lefkowitz Building,80 Centre Street,Manhattan,New York,10013,166,27,0
2,Bronx County Courthouse,851 Grand Concourse,Bronx,New York,10451,2468,1,36911.136
4,Queens Supreme Court,88-11 Sutphin Boulevard,Queens,New York,11435,9691,1,3002.604
4,Queens Civil Court,89-17 Sutphin Boulevard,Queens,New York,11435,9680,1,1574.442
5,Staten Island Civil Court,927 Castleton Avenue,Staten Island,New York,10310,159,65,0
1,City Hall,City Hall Park,Manhattan,New York,10007,122,1,0
